ID Industry Group,Industry Group,ID Year,Year,ID Workforce Status,Workforce Status,Total Population,Total Population MOE Appx,Average Wage,Average Wage Appx MOE,yocpop RCA,Record Count,Slug Industry Group,CIP2,ID CIP2
"53223","Video tape & disk rental",2017,"2017","true","true",434,511.46858704173763,256297.44239631336,216015.43779610077,0.00010840192335984019,20,"video-tape-disk-rental","Engineering","14"
"51913","Internet publishing, broadcasting & web search portals",2020,"2020","true","true",20527,3517.2839206621493,244031.7020996736,28475.259835485434,0.00460039928247487,1086,"internet-publishing-broadcasting-web-search-portals","Engineering","14"
"51913","Internet publishing, broadcasting & web search portals",2019,"2019","true","true",17376,3236.1159556771768,235762.53125,31345.463167812868,0.004036575424791719,918,"internet-publishing-broadcasting-web-search-portals","Engineering","14"
"53223","Video tape & disk rental",2016,"2016","true","true",316,436.43323230470077,234590.3512658228,245394.54405558243,0.000082074937534739,15,"video-tape-disk-rental","Engineering","14"
"6211","Offices of physicians",2019,"2019","true","true",20828,3542.9732351216726,233342.42005953524,31821.571088621786,0.004838500975343113,1108,"offices-of-physicians","Engineering","14"
"6211","Offices of physicians",2020,"2020","true","true",21990,3640.4507214895502,225403.27548885858,30721.07543077654,0.004928278863040016,1120,"offices-of-physicians","Engineering","14"
"6211","Offices of physicians",2018,"2018","true","true",19555,3433.0051200626763,223634.2828432626,31448.066938735814,0.004704791477049495,1029,"offices-of-physicians","Engineering","14"
"211","Oil & gas extraction",2019,"2019","true","true",17143,3214.348242912565,223262.01207489936,27061.732899818257,0.003982447773204675,814,"oil-gas-extraction","Engineering","14"
"211","Oil & gas extraction",2018,"2018","true","true",17151,3215.09534441942,220810.2224943152,27085.567608339064,0.004126406475217382,811,"oil-gas-extraction","Engineering","14"
"6211","Offices of physicians",2017,"2017","true","true",18286,3319.7578347115077,219558.1647161763,31359.804184105305,0.004567367674096861,960,"offices-of-physicians","Engineering","14"
"51913","Internet publishing, broadcasting & web search portals",2018,"2018","true","true",13769,2880.7487783931856,219495.36335245843,33939.30890859634,0.003312721751342087,717,"internet-publishing-broadcasting-web-search-portals","Engineering","14"
"6211","Offices of physicians",2016,"2016","true","true",16816,3183.53899118391,214156.72764034252,31720.40419071601,0.004367633384760035,891,"offices-of-physicians","Engineering","14"
"53223","Video tape & disk rental",2015,"2015","true","true",360,465.8278447821684,213538.60277777776,217024.9106491614,0.00009657496873385388,19,"video-tape-disk-rental","Engineering","14"
"211","Oil & gas extraction",2020,"2020","true","true",16935,3194.791709493207,212006.7561263655,26661.99704708664,0.0037953798338145823,742,"oil-gas-extraction","Engineering","14"
"211","Oil & gas extraction",2017,"2017","true","true",16036,3108.840783343725,208349.92311050138,27172.844899507236,0.004005376135941007,756,"oil-gas-extraction","Engineering","14"
