ID Detailed Occupation,Detailed Occupation,ID Year,Year,ID Workforce Status,Workforce Status,Total Population,Total Population MOE Appx,Average Wage,Average Wage Appx MOE,yocpop RCA,Record Count,Slug Detailed Occupation,CIP2,ID CIP2
"291081","Podiatrists",2020,"2020","true","true",95,239.29654161999807,401918.2631578947,566121.982408977,0.40651576021820734,7,"podiatrists","Engineering","14"
"291240","Surgeons",2020,"2020","true","true",2560,1242.1984728430898,330385.884765625,102182.29410848235,1.7461443417355282,120,"surgeons","Engineering","14"
"291240","Surgeons",2019,"2019","true","true",1989,1094.937226171396,290662.74710910005,113189.93461487803,1.4834966913662426,107,"surgeons","Engineering","14"
"291240","Surgeons",2018,"2018","true","true",1745,1025.5807655613098,257554.0401146132,109565.02514123145,1.4167845986189005,89,"surgeons","Engineering","14"
"291210","Physicians",2020,"2020","true","true",32543,4428.492082893804,253486.91798543464,24657.656541014843,1.2512770166793015,1734,"physicians","Engineering","14"
"291210","Physicians",2019,"2019","true","true",34268,4544.317553194543,247497.0148243259,23826.711419744843,1.3706928457270962,1837,"physicians","Engineering","14"
"413031","Securities, commodities, & financial services sales agents",2020,"2020","true","true",8487,2261.723061626532,237055.15199717216,56633.63815037346,1.2986862834605624,387,"securities-commodities-financial-services-sales-agents","Engineering","14"
"291210","Physicians",2018,"2018","true","true",34403,4553.250157673083,236322.62023660727,23035.35120933943,1.434396110335479,1825,"physicians","Engineering","14"
"291060","Physicians & surgeons",2017,"2017","true","true",34463,4557.210277776382,233414.0351101181,22165.30754490334,1.4163199286109127,1814,"physicians-surgeons","Engineering","14"
"1110XX","Chief executives & legislators",2019,"2019","true","true",100589,7783.982216953778,232352.21247850163,13065.708585678836,2.796557764352298,5389,"chief-executives-legislators","Engineering","14"
"1110XX","Chief executives & legislators",2020,"2020","true","true",104800,7945.144839525883,231063.58565839694,13017.048006070596,2.6915808750124035,5347,"chief-executives-legislators","Engineering","14"
"413031","Securities, commodities, & financial services sales agents",2019,"2019","true","true",7930,2186.2492574384924,230350.66116015133,57451.31842785707,1.2381047417767208,391,"securities-commodities-financial-services-sales-agents","Engineering","14"
"291060","Physicians & surgeons",2016,"2016","true","true",33385,4485.377060243186,223898.01878088963,21692.933997466436,1.4287892621340952,1763,"physicians-surgeons","Engineering","14"
"1110XX","Chief executives & legislators",2018,"2018","true","true",95038,7566.261850756745,222879.5536417012,12783.053430262331,2.815347810357667,5041,"chief-executives-legislators","Engineering","14"
"413031","Securities, commodities, & financial services sales agents",2018,"2018","true","true",7854,2175.7473974699974,217235.33218742043,56106.4287316835,1.2404535495722004,381,"securities-commodities-financial-services-sales-agents","Engineering","14"
"1110XX","Chief executives & legislators",2017,"2017","true","true",92582,7467.8862886810075,214248.6398111944,12362.070389818813,2.8337422749171104,4890,"chief-executives-legislators","Engineering","14"
"291060","Physicians & surgeons",2015,"2015","true","true",32845,4448.953976973678,213800.18818693864,20993.897794759814,1.4439560936357685,1708,"physicians-surgeons","Engineering","14"
"291060","Physicians & surgeons",2014,"2014","true","true",30480,4285.8174271779335,212975.55787401574,21352.74561826578,1.38390445214196,1597,"physicians-surgeons","Engineering","14"
